DATE;TIME;TA;HRA;TB;HRB;
;;2039;5214;1966;5747;
;;2042;5217;1964;5747;
;;2039;5217;1961;5746;
;;2041;5217;1964;5745;
;;2044;5214;1961;5739;
;;2041;5214;1961;5739;
;;2041;5210;1963;5741;
;;2044;5208;1963;5745;
;;2045;5214;1967;5756;
;;2048;5240;1967;5774;
;;2042;5261;1974;5799;
;;2044;5274;1982;5839;
;;2056;5315;2000;5935;
;;2110;5393;2037;6019;
;;2127;5439;2069;6121;
;;2127;5444;2100;6251;
;;2120;5418;2131;6390;
;;2120;5406;2155;6537;
;;2118;5397;2172;6674;
;;2111;5388;2189;6772;
;;2111;5363;2193;6831;
;;2109;5346;2186;6758;
;;2110;5334;2176;6589;
;;2106;5304;2169;6418;
;;2140;5341;2163;6274;
;;2144;5438;2159;6165;
;;2138;5456;2156;6075;
;;2137;5434;2153;6002;
;;2137;5467;2152;5938;
31.05.2021;05:22:20;2131;5446;2156;5878;
;;2127;5407;2156;5875;
;;2123;5379;2156;5864;
;;2118;5368;2156;5828;
;;2116;5362;2156;5789;
;;2116;5355;2156;5746;
;;2111;5361;2156;5714;
;;2111;5359;2158;5686;
;;2107;5361;2156;5668;
;;2109;5371;2158;5649;
;;2107;5376;2158;5638;
;;2103;5384;2158;5646;
;;2103;5397;2159;5648;
;;2102;5411;2158;5646;
;;2100;5422;2156;5640;
;;2100;5436;2158;5640;
;;2100;5442;2158;5638;
;;2100;5454;2156;5633;
;;2099;5459;2156;5640;
;;2100;5463;2156;5640;
;;2099;5471;2156;5640;
;;2097;5471;2156;5641;
;;2099;5476;2156;5646;
;;2099;5477;2155;5646;
;;2100;5483;2156;5651;
;;2099;5481;2156;5651;
;;2097;5484;2156;5655;
;;2095;5484;2155;5656;
;;2096;5484;2153;5657;
;;2099;5484;2153;5664;
31.05.2021;05:22:50;2096;5483;2153;5667;
;;2096;5485;2155;5669;
;;2096;5485;2152;5669;
;;2097;5486;2150;5667;
;;2095;5485;2150;5674;
;;2097;5487;2152;5675;
;;2096;5488;2150;5677;
;;2096;5485;2150;5680;
;;2097;5486;2148;5680;
;;2096;5484;2148;5680;
;;2096;5485;2148;5684;
;;2096;5482;2149;5684;
;;2096;5485;2146;5684;
;;2099;5483;2148;5687;
;;2095;5482;2145;5683;
;;2097;5485;2145;5686;
;;2096;5483;2145;5689;
;;2093;5481;2142;5688;
;;2096;5483;2144;5689;
;;2096;5479;2144;5690;
;;2097;5477;2142;5690;
;;2097;5474;2141;5689;
;;2096;5473;2139;5689;
;;2096;5471;2145;5690;
;;2096;5471;2138;5689;
;;2097;5470;2141;5689;
;;2099;5473;2137;5691;
;;2097;5470;2137;5690;
;;2099;5467;2137;5690;
;;2095;5469;2138;5691;
31.05.2021;05:23:20;2099;5471;2138;5695;
;;2096;5469;2134;5697;
;;2097;5473;2134;5697;
;;2097;5470;2132;5697;
;;2097;5470;2137;5700;
;;2097;5467;2134;5695;
;;2097;5464;2131;5700;
;;2099;5466;2132;5700;
;;2097;5465;2131;5705;
;;2097;5465;2131;5705;
;;2097;5465;2131;5708;
;;2099;5467;2131;5706;
;;2097;5463;2128;5709;
;;2097;5465;2129;5709;
;;2100;5464;2127;5706;
;;2100;5459;2128;5709;
;;2099;5463;2127;5709;
;;2097;5464;2125;5713;
;;2099;5460;2127;5715;
;;2099;5460;2128;5715;
;;2099;5456;2127;5715;
;;2099;5454;2127;5720;
;;2102;5453;2128;5721;
;;2099;5454;2127;5721;
;;2097;5449;2123;5721;
;;2096;5448;2122;5722;
;;2099;5447;2122;5722;
;;2100;5443;2122;5727;
;;2097;5440;2121;5726;
;;2099;5437;2122;5730;
31.05.2021;05:23:50;2099;5434;2122;5731;
;;2097;5432;2122;5730;
;;2099;5425;2121;5730;
;;2100;5423;2119;5729;
;;2099;5424;2119;5728;
;;2099;5420;2121;5731;
;;2100;5418;2122;5730;
;;2097;5416;2117;5730;
;;2100;5416;2118;5727;
;;2099;5409;2118;5725;
;;2099;5408;2117;5729;
;;2099;5406;2119;5731;
;;2099;5403;2117;5730;
;;2097;5403;2117;5726;
;;2100;5402;2114;5722;
;;2099;5400;2117;5726;
