"velikost"	"barva"	"pohodli"	"smrdi"	"cena"
"1"	39	"seda"	4	"ANO"	2602
"2"	36	"hneda"	6	"TROCHU"	1911.2
"3"	35	"cerna"	3	"NE"	2136.1
"4"	36	"cerna"	5	"TROCHU"	1973
"5"	36	"ruzova"	4	"NE"	2248.5
"6"	43	"cerna"	5	"ANO"	1615
"7"	41	"hneda"	5	"TROCHU"	1776
"8"	35	"cerna"	6	"ANO"	2060.1
"9"	40	"seda"	3	"ANO"	2435.5
"10"	38	"seda"	3	"ANO"	2211.8
"11"	43	"hneda"	5	"TROCHU"	2049.2
"12"	41	"ruzova"	5	"TROCHU"	1974
"13"	39	"cerna"	10	"ANO"	2222.4
"14"	39	"cervena"	5	"NE"	1811.6
"15"	39	"ruzova"	7	"ANO"	1916.5
"16"	41	"hneda"	6	"NE"	1905
"17"	41	"ruzova"	9	"NE"	1766.1
"18"	36	"hneda"	2	"NE"	2461.7
"19"	40	"cervena"	4	"TROCHU"	1611.9
"20"	41	"vinova"	6	"ANO"	1668.9
"21"	39	"cerna"	4	"TROCHU"	1672.6
"22"	36	"ruzova"	4	"TROCHU"	2494.2
"23"	38	"seda"	9	"TROCHU"	2096.3
"24"	38	"cervena"	4	"NE"	2495.5
"25"	42	"seda"	3	"NE"	2372.3
"26"	40	"ruzova"	1	"NE"	1693.7
"27"	40	"ruzova"	6	"TROCHU"	2450.8
"28"	35	"vinova"	4	"NE"	1670.1
"29"	39	"zluta"	4	"NE"	2221.1
"30"	43	"ruzova"	5	"ANO"	1238.1
"31"	37	"zluta"	4	"NE"	1845.7
"32"	40	"seda"	7	"ANO"	2140
"33"	38	"seda"	1	"NE"	2072.2
"34"	36	"vinova"	7	"ANO"	1934.9
"35"	40	"hneda"	5	"TROCHU"	2653.7
"36"	39	"vinova"	4	"NE"	2093.4
"37"	35	"cerna"	4	"TROCHU"	1898.9
"38"	37	"hneda"	6	"ANO"	2251.8
"39"	40	"vinova"	6	"NE"	2071.3
"40"	40	"ruzova"	5	"NE"	2644
"41"	40	"zluta"	6	"ANO"	1889.2
"42"	38	"vinova"	2	"ANO"	1852.9
"43"	35	"cerna"	4	"NE"	2091.4
"44"	37	"seda"	1	"TROCHU"	2478.6
"45"	37	"zluta"	3	"ANO"	2036
"46"	36	"seda"	6	"TROCHU"	1844.3
"47"	38	"seda"	3	"TROCHU"	2454.1
"48"	36	"seda"	7	"NE"	2511
"49"	43	"ruzova"	3	"ANO"	1901.5
"50"	35	"seda"	6	"NE"	1832.7
"51"	41	"cerna"	6	"NE"	1767.9
"52"	43	"ruzova"	5	"NE"	2366.8
"53"	42	"ruzova"	5	"NE"	2615
"54"	37	"zluta"	7	"TROCHU"	2085.7
"55"	35	"cerna"	5	"ANO"	1649.3
"56"	37	"cervena"	4	"TROCHU"	2290.9
"57"	36	"zluta"	7	"ANO"	2204.2
"58"	36	"hneda"	5	"ANO"	1832.6
"59"	36	"seda"	7	"NE"	1618.2
"60"	35	"ruzova"	8	"TROCHU"	2407.1
"61"	40	"cerna"	2	"TROCHU"	2120
"62"	40	"zluta"	6	"ANO"	2019.2
"63"	43	"seda"	2	"ANO"	2145.1
"64"	42	"vinova"	8	"NE"	2207.6
"65"	39	"ruzova"	7	"ANO"	2165
"66"	42	"cerna"	9	"NE"	2364.5
"67"	37	"seda"	7	"NE"	1963.5
"68"	38	"vinova"	5	"ANO"	2207.2
"69"	36	"cerna"	5	"NE"	2338
"70"	36	"seda"	5	"TROCHU"	2419.3
"71"	40	"hneda"	6	"ANO"	2029.4
"72"	35	"vinova"	7	"ANO"	1859.3
"73"	37	"cervena"	1	"ANO"	2285.1
"74"	38	"ruzova"	4	"NE"	1860.4
"75"	42	"seda"	6	"TROCHU"	1280.9
"76"	41	"vinova"	4	"TROCHU"	2317.4
"77"	37	"cervena"	9	"TROCHU"	2382.7
"78"	35	"cervena"	6	"ANO"	1888.2
"79"	40	"vinova"	5	"TROCHU"	1820.2
"80"	37	"zluta"	5	"ANO"	2116.7
"81"	41	"zluta"	8	"ANO"	2155.1
"82"	38	"vinova"	5	"TROCHU"	2185.5
"83"	39	"zluta"	4	"ANO"	1927.2
"84"	41	"cervena"	2	"NE"	1969.5
"85"	41	"ruzova"	5	"TROCHU"	1913.2
"86"	39	"cervena"	4	"NE"	1639.2
"87"	37	"vinova"	5	"ANO"	2373.1
"88"	42	"vinova"	1	"ANO"	2145.9
"89"	37	"zluta"	7	"TROCHU"	2031.9
"90"	42	"seda"	2	"TROCHU"	1894.1
"91"	35	"cervena"	4	"TROCHU"	2476
"92"	39	"hneda"	6	"NE"	2082.7
"93"	39	"zluta"	2	"NE"	2090.7
"94"	40	"cerna"	6	"TROCHU"	2248
"95"	43	"vinova"	6	"TROCHU"	1775.4
"96"	38	"cerna"	2	"ANO"	1913.3
"97"	40	"vinova"	7	"ANO"	2128.2
"98"	36	"ruzova"	3	"ANO"	1831.2
"99"	42	"zluta"	2	"ANO"	1805.1
"100"	36	"vinova"	6	"TROCHU"	1641
"101"	40	"zluta"	3	"NE"	2578.5
"102"	36	"zluta"	3	"NE"	2235.1
"103"	38	"zluta"	6	"ANO"	1745.8
"104"	43	"cervena"	2	"NE"	1824.3
"105"	35	"cervena"	8	"TROCHU"	2394.1
"106"	36	"cerna"	3	"ANO"	1780.2
