"jehlicka" "prunik" "hostina" "gender" "stari" "lokalita"
"1" 1 0.4 0.3 "A" "JUV" 1
"2" 2 0.3 0.4 "B" "SUB" 2
"3" 3 0.4 0.3 "A" "Adult" 3
"4" 4 0.3 0.4 "B" "JUV" 4
"5" 5 0.4 0.3 "A" "SUB" 5
"6" 6 0.4 0.4 "B" "Adult" 1
"7" 7 0.3 0.3 "A" "JUV" 2
"8" 8 0.4 0.3 "B" "SUB" 3
"9" 9 0.5 0.3 "A" "Adult" 4
"10" 10 0.2 0.3 "B" "JUV" 5
"11" 11 0.4 0.3 "A" "SUB" 1
"12" 12 0.3 0.3 "B" "Adult" 2
"13" 13 0.4 0.4 "A" "JUV" 3
"14" 14 0.2 0.2 "B" "SUB" 4
"15" 15 0.4 0.4 "A" "Adult" 5
"16" 16 0.4 0.3 "B" "JUV" 1
"17" 17 0.4 0.3 "A" "SUB" 2
"18" 18 0.4 0.3 "B" "Adult" 3
"19" 19 0.5 0.3 "A" "JUV" 4
"20" 20 0.4 0.4 "B" "SUB" 5
"21" 21 0.4 0.3 "A" "Adult" 1
"22" 22 0.3 0.3 "B" "JUV" 2
"23" 23 0.3 0.3 "A" "SUB" 3
"24" 24 0.3 0.3 "B" "Adult" 4
"25" 25 0.3 0.3 "A" "JUV" 5
"26" 26 0.3 0.3 "B" "SUB" 1
"27" 27 0.3 0.3 "A" "Adult" 2
"28" 28 0.3 0.2 "B" "JUV" 3
"29" 29 0.3 0.3 "A" "SUB" 4
"30" 30 0.3 0.2 "B" "Adult" 5
"31" 31 0.4 0.3 "A" "JUV" 1
"32" 32 0.5 0.3 "B" "SUB" 2
"33" 33 0.3 0.4 "A" "Adult" 3
"34" 34 0.4 0.3 "B" "JUV" 4
"35" 35 0.4 0.3 "A" "SUB" 5
"36" 36 0.4 0.4 "B" "Adult" 1
"37" 37 0.4 0.2 "A" "JUV" 2
"38" 38 0.4 0.3 "B" "SUB" 3
"39" 39 0.3 0.3 "A" "Adult" 4
"40" 40 0.5 0.2 "B" "JUV" 5
"41" 41 0.2 0.2 "A" "SUB" 1
"42" 42 0.1 0.4 "B" "Adult" 2
"43" 43 0.2 0.3 "A" "JUV" 3
"44" 44 0.3 0.4 "B" "SUB" 4
"45" 45 0.3 0.3 "A" "Adult" 5
"46" 46 0.3 0.3 "B" "JUV" 1
"47" 47 0.3 0.4 "A" "SUB" 2
"48" 48 0.2 0.3 "B" "Adult" 3
"49" 49 0.3 0.2 "A" "JUV" 4
"50" 50 0.3 0.3 "B" "SUB" 5
"51" 51 0.4 0.2 "A" "Adult" 1
"52" 52 0.4 0.3 "B" "JUV" 2
"53" 53 0.3 0.4 "A" "SUB" 3
"54" 54 0.4 0.3 "B" "Adult" 4
"55" 55 0.3 0.2 "A" "JUV" 5
"56" 56 0.4 0.5 "B" "SUB" 1
"57" 57 0.4 0.4 "A" "Adult" 2
"58" 58 0.3 0.2 "B" "JUV" 3
"59" 59 0.3 0.3 "A" "SUB" 4
"60" 60 0.4 0.4 "B" "Adult" 5
"61" 61 0.3 0.4 "A" "JUV" 1
"62" 62 0.2 0.4 "B" "SUB" 2
"63" 63 0.3 0.3 "A" "Adult" 3
"64" 64 0.5 0.5 "B" "JUV" 4
"65" 65 0.4 0.3 "A" "SUB" 5
"66" 66 0.5 0.4 "B" "Adult" 1
"67" 67 0.4 0.3 "A" "JUV" 2
"68" 68 0.3 0.5 "B" "SUB" 3
"69" 69 0.3 0.3 "A" "Adult" 4
"70" 70 0.4 0.3 "B" "JUV" 5
"71" 71 0.4 0.4 "A" "SUB" 1
"72" 72 0.3 0.3 "B" "Adult" 2
"73" 73 0.2 0.3 "A" "JUV" 3
"74" 74 0.4 0.3 "B" "SUB" 4
"75" 75 0.3 0.4 "A" "Adult" 5
"76" 76 0.2 0.3 "B" "JUV" 1
"77" 77 0.3 0.3 "A" "SUB" 2
"78" 78 0.4 0.5 "B" "Adult" 3
"79" 79 0.3 0.4 "A" "JUV" 4
"80" 80 0.3 0.3 "B" "SUB" 5
"81" 81 0.4 0.3 "A" "Adult" 1
"82" 82 0.5 0.3 "B" "JUV" 2
"83" 83 0.2 0.4 "A" "SUB" 3
"84" 84 0.3 0.2 "B" "Adult" 4
"85" 85 0.4 0.3 "A" "JUV" 5
"86" 86 0.4 0.3 "B" "SUB" 1
"87" 87 0.5 0.3 "A" "Adult" 2
"88" 88 0.3 0.3 "B" "JUV" 3
"89" 89 0.3 0.3 "A" "SUB" 4
"90" 90 0.4 0.2 "B" "Adult" 5
"91" 91 0.3 0.3 "A" "JUV" 1
"92" 92 0.4 0.3 "B" "SUB" 2
"93" 93 0.4 0.4 "A" "Adult" 3
"94" 94 0.3 0.3 "B" "JUV" 4
"95" 95 0.5 0.4 "A" "SUB" 5
"96" 96 0.4 0.4 "B" "Adult" 1
"97" 97 0.3 0.3 "A" "JUV" 2
"98" 98 0.4 0.4 "B" "SUB" 3
"99" 99 0.2 0.4 "A" "Adult" 4
"100" 100 0.4 0.3 "B" "Adult" 5
